"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"50216","IA","Des Moines-West Des Moines","Guthrie County","Panora",11358,928,-0.0132,-0.0173,-0.0455,1857
2020-01-31,"18942","PA","Philadelphia-Camden-Wilmington","Bucks County","Tinicum Township",11359,1869,-0.0021,0.0154,0.0422,1242
2020-01-31,"52327","IA","Iowa City","Washington County","Riverside",11360,981,0.0176,0.0141,0.0146,1464
2020-01-31,"52645","IA",,"Henry County","New London",11361,850,0.0154,0.0362,-0.0363,1178
2020-01-31,"74455","OK",,"McIntosh County","Porum",11362,609,0.0053,0.0283,-0.0548,1042
2020-01-31,"83313","ID","Hailey","Blaine County","Bellevue",11363,1303,-0.011,0.0259,0.046,1210
2020-01-31,"64011","MO","Kansas City","Lafayette County","Bates City",11364,936,-0.0241,-0.0156,-0.0109,1251
2020-01-31,"77968","TX","Victoria","Victoria County","Inez",11365,1504,-0.0255,0.0009,0.0384,1174
2020-01-31,"47229","IN","Seymour","Jackson County","Crothersville",11366,903,0.0115,-0.0162,0.0114,1182
2020-01-31,"24556","VA","Lynchburg","Bedford County","Goode",11367,1269,-0.0079,-0.0156,-0.0465,1185
2020-01-31,"38222","TN","Paris","Henry County","Buchanan",11368,1025,0.024,0.0306,0.0996,1029
2020-01-31,"26588","WV","Fairmont","Marion County","Rivesville",11369,858,-0.0149,0.0346,-0.0083,1250
2020-01-31,"65611","MO","Branson","Stone County","Blue Eye",11370,910,-0.0135,0.0176,-0.1353,1418
2020-01-31,"19507","PA","Reading","Berks County","Bethel Township",11371,1226,0.0231,0.0522,0.0244,1260
2020-01-31,"62264","IL","St. Louis","Saint Clair County","New Athens",11372,865,-0.0263,0.016,-0.0186,1253
2020-01-31,"70071","LA","New Orleans-Metairie","Saint James Parish","Lutcher",11373,1158,-0.0019,-0.0124,-0.0649,1134
2020-01-31,"23146","VA","Richmond","Hanover County","Rockville",11374,1563,-0.008,-0.0259,-0.0572,1212
2020-01-31,"65438","MO",,"Shannon County","Birch Tree",11375,764,-0.0039,0.0208,0.0281,1167
2020-01-31,"47879","IN","Terre Haute","Sullivan County","Shelburn",11376,835,-0.0163,-0.0129,0.0464,1009
2020-01-31,"83641","ID","Boise City","Canyon County","Melba",11377,1359,-0.0028,-0.0047,0.045,1032
2020-01-31,"14111","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County","Town of North Collins",11378,957,-0.0042,-0.0167,-0.0089,1300
