,Unnamed: 0_x,Median year housing units were built_2011,Median contract rent_2011,Median gross rent (contract rent plus utilities)_2011,Median value (dollars) for Owner-Occupied housing units_2011,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2011,Zipcode,Unnamed: 0_y,Median year housing units were built_2012,Median contract rent_2012,Median gross rent (contract rent plus utilities)_2012,Median value (dollars) for Owner-Occupied housing units_2012,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2012,Unnamed: 0_x,Median year housing units were built_2013,Median contract rent_2013,Median gross rent (contract rent plus utilities)_2013,Median value (dollars) for Owner-Occupied housing units_2013,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2013,Unnamed: 0_y,Median year housing units were built_2014,Median contract rent_2014,Median gross rent (contract rent plus utilities)_2014,Median value (dollars) for Owner-Occupied housing units_2014,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2014,Unnamed: 0_x,Median year housing units were built_2015,Median contract rent_2015,Median gross rent (contract rent plus utilities)_2015,Median value (dollars) for Owner-Occupied housing units_2015,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2015,Unnamed: 0_y,Median year housing units were built_2016,Median contract rent_2016,Median gross rent (contract rent plus utilities)_2016,Median value (dollars) for Owner-Occupied housing units_2016,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2016,Unnamed: 0_x,Median year housing units were built_2017,Median contract rent_2017,Median gross rent (contract rent plus utilities)_2017,Median value (dollars) for Owner-Occupied housing units_2017,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2017,Unnamed: 0_y,Median year housing units were built_2018,Median contract rent_2018,Median gross rent (contract rent plus utilities)_2018,Median value (dollars) for Owner-Occupied housing units_2018,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2018
36,25361,1984.0,670.0,811.0,117000.0,1208.0,78741,28441,1984.0,682.0,835.0,120200.0,1255.0,26387,1985.0,699.0,851.0,127500.0,1278.0,27917,1985.0,720.0,866.0,133400.0,1325.0,5270,1986.0,753.0,901.0,139000.0,1312.0,21101,1986.0,815.0,951.0,141300.0,1231.0,27398,1987.0,873.0,1002.0,156800.0,1416.0,27398,1987.0,932.0,1082.0,194000.0,1546.0
37,25362,1981.0,336.0,669.0,44200.0,756.0,78742,28442,1980.0,346.0,639.0,54400.0,772.0,26388,1983.0,437.0,690.0,72100.0,778.0,27918,1976.0,736.0,908.0,84500.0,784.0,5271,1976.0,735.0,911.0,76400.0,980.0,21102,1978.0,757.0,963.0,80600.0,917.0,27399,1975.0,838.0,1048.0,86100.0,1078.0,27399,1974.0,953.0,1067.0,58300.0,-666666666.0
38,25363,1987.0,709.0,898.0,108800.0,1259.0,78744,28443,1987.0,729.0,946.0,108100.0,1263.0,26389,1988.0,760.0,962.0,106500.0,1243.0,27919,1988.0,780.0,982.0,107200.0,1252.0,5272,1989.0,804.0,1012.0,106000.0,1206.0,21103,1989.0,848.0,1067.0,111400.0,1180.0,27400,1990.0,888.0,1104.0,121500.0,1233.0,27400,1992.0,942.0,1157.0,138500.0,1271.0
39,25364,1979.0,796.0,958.0,159800.0,1369.0,78745,28444,1980.0,832.0,990.0,166200.0,1378.0,26390,1979.0,853.0,1020.0,170200.0,1395.0,27920,1979.0,879.0,1058.0,174600.0,1414.0,5273,1979.0,913.0,1092.0,183900.0,1425.0,21104,1979.0,961.0,1140.0,204500.0,1468.0,27401,1980.0,1052.0,1218.0,229200.0,1534.0,27401,1980.0,1115.0,1293.0,255200.0,1628.0
40,25365,1986.0,1070.0,1205.0,610800.0,3401.0,78746,28445,1986.0,1117.0,1221.0,619900.0,3334.0,26391,1986.0,1132.0,1225.0,634000.0,3407.0,27921,1986.0,1192.0,1325.0,666600.0,3509.0,5274,1987.0,1250.0,1421.0,713400.0,3506.0,21105,1986.0,1299.0,1449.0,749000.0,3560.0,27402,1986.0,1316.0,1456.0,812900.0,3825.0,27402,1986.0,1389.0,1519.0,851900.0,3948.0
41,25366,2001.0,849.0,1048.0,170700.0,1483.0,78747,28446,2002.0,881.0,1061.0,163000.0,1457.0,26392,2002.0,908.0,1104.0,167800.0,1471.0,27922,2002.0,896.0,1147.0,168100.0,1438.0,5275,2002.0,970.0,1180.0,169400.0,1420.0,21106,2002.0,1057.0,1309.0,177600.0,1435.0,27403,2002.0,1167.0,1387.0,203800.0,1451.0,27403,2003.0,1253.0,1390.0,222700.0,1479.0
42,25367,1994.0,888.0,1086.0,181800.0,1617.0,78748,28447,1995.0,902.0,1095.0,185500.0,1612.0,26393,1996.0,942.0,1138.0,187900.0,1624.0,27923,1996.0,989.0,1181.0,192800.0,1613.0,5276,1996.0,1008.0,1198.0,205800.0,1572.0,21107,1997.0,1067.0,1240.0,221000.0,1589.0,27404,1999.0,1139.0,1326.0,238600.0,1641.0,27404,2000.0,1229.0,1392.0,256200.0,1703.0
43,25368,1994.0,939.0,1093.0,229900.0,1756.0,78749,28448,1994.0,984.0,1150.0,233900.0,1797.0,26394,1994.0,1008.0,1178.0,237800.0,1828.0,27924,1994.0,1078.0,1214.0,248300.0,1848.0,5277,1994.0,1137.0,1284.0,257400.0,1835.0,21108,1994.0,1162.0,1307.0,275600.0,1837.0,27405,1994.0,1192.0,1335.0,296900.0,1942.0,27405,1994.0,1266.0,1396.0,322400.0,1984.0
44,25369,1985.0,808.0,989.0,295300.0,2079.0,78750,28449,1985.0,854.0,1012.0,303100.0,2030.0,26395,1986.0,883.0,1063.0,306900.0,2040.0,27925,1986.0,894.0,1097.0,312500.0,2031.0,5278,1986.0,946.0,1151.0,322700.0,1976.0,21109,1987.0,1002.0,1222.0,330500.0,2030.0,27406,1986.0,1074.0,1255.0,359500.0,2166.0,27406,1986.0,1218.0,1353.0,388900.0,2264.0
45,25370,1970.0,739.0,829.0,300300.0,2033.0,78751,28450,1969.0,757.0,865.0,292200.0,1978.0,26396,1966.0,777.0,876.0,297200.0,2104.0,27926,1966.0,821.0,905.0,295700.0,2079.0,5279,1966.0,861.0,963.0,322900.0,2086.0,21110,1964.0,961.0,1087.0,366100.0,2195.0,27407,1964.0,1074.0,1200.0,395200.0,2482.0,27407,1965.0,1200.0,1299.0,450000.0,2540.0
