"SAGDP9N Real GDP by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48000","Texas","47","      Motion picture and sound recording industries",699.4,914.1,1212.8,976.4,1143.4,1219.5,1252.6,1047.6,989.0,1174.6,1483.8,1638.6,1763.6,1785.7,1690.8,1632.0,1905.7,1721.0,1951.6,2109.4,1995.3,"(NA)"
"48000","Texas","48","      Broadcasting (except Internet) and telecommunications",14919.6,16790.4,17989.1,20663.4,20194.4,18865.7,19074.7,19974.5,22380.3,25256.3,33468.0,35759.0,32351.9,31699.0,31452.8,31142.0,35026.1,35318.0,38729.9,40562.9,44414.6,"(NA)"
"48000","Texas","49","      Data processing, hosting, and other information services",3284.0,3523.8,2648.9,2378.6,2841.4,5506.3,5534.9,6408.4,5389.7,6172.6,4995.6,6564.4,6858.7,7117.0,8048.9,7084.8,7039.9,8185.3,9631.6,10165.0,10487.5,"(NA)"
"48000","Texas","50","    Finance, insurance, real estate, rental, and leasing",119873.4,127120.4,137004.6,141952.6,141454.1,142561.5,143478.4,142425.5,153640.4,159789.4,163848.3,163788.9,167690.8,174066.2,183737.6,192555.3,197158.5,208863.0,214305.5,221034.8,224394.5,231426.3
"48000","Texas","51","      Finance and insurance",38269.6,43024.6,47684.9,49482.7,51787.5,51959.7,53431.7,51912.9,57142.7,59124.8,57043.8,55440.8,61920.7,61692.1,62718.3,67522.7,67917.8,70125.7,74439.6,77417.8,75961.3,77811.2
"48000","Texas","52","        Monetary Authorities- central bank, credit intermediation, and related services",15925.2,18599.1,22359.4,21062.9,21785.9,22493.4,22713.2,19941.3,22739.5,24294.2,23118.8,24579.4,27081.1,25972.9,28420.4,30389.9,28347.2,27401.0,28097.5,26198.2,25341.0,"(NA)"
"48000","Texas","53","        Securities, commodity contracts, and other financial investments and related activities",4929.2,5396.0,5777.9,7453.9,9218.8,8186.7,7503.4,7148.2,8381.1,9202.2,7919.0,4741.0,10760.0,10564.4,8434.0,11496.8,11711.5,9004.7,9255.9,10996.5,11848.0,"(NA)"
"48000","Texas","54","        Insurance carriers and related activities",16315.1,17781.4,18146.4,19865.3,19955.2,19611.3,21939.9,23201.5,23333.1,23590.8,24269.0,24183.4,23487.1,24041.5,24525.4,24434.9,26221.7,32495.8,36592.4,39836.0,36866.2,"(NA)"
"48000","Texas","55","        Funds, trusts, and other financial vehicles",983.4,1062.2,1078.2,878.4,714.3,1408.8,952.0,1416.0,2515.7,1749.5,1476.8,1775.0,705.5,1197.9,1325.0,1201.1,1750.4,1964.3,1208.2,1435.3,2571.4,"(NA)"
"48000","Texas","56","      Real estate and rental and leasing",82047.7,84247.0,89361.7,92508.2,89619.8,90558.2,89985.9,90480.9,96432.0,100602.6,106791.5,108334.7,105996.2,112430.3,120992.1,125032.5,129256.8,138838.0,139809.3,143508.0,148579.4,153836.6
