GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018
31540,"Madison, WI (Metropolitan Statistical Area)",47,Plus: Personal current transfer receipts,3583922,3508439,3589330,3704559,3876665,4087290,4173595,4360579,4642827
31540,"Madison, WI (Metropolitan Statistical Area)",,Components of earnings by place of work (thousands of dollars),,,,,,,,,
31540,"Madison, WI (Metropolitan Statistical Area)",50,Wages and salaries,15219734,16049829,16766375,17735017,18334524,19519833,20416266,21248381,22282478
31540,"Madison, WI (Metropolitan Statistical Area)",60,Supplements to wages and salaries,4522122,4790522,4988435,5108300,5237413,5265548,5497028,5818148,6073322
31540,"Madison, WI (Metropolitan Statistical Area)",61,  Employer contributions for employee pension and insurance funds 8/,3345997,3534719,3685848,3731878,3827323,3787955,3985694,4246283,4478468
31540,"Madison, WI (Metropolitan Statistical Area)",62,  Employer contributions for government social insurance,1176125,1255803,1302587,1376422,1410090,1477593,1511334,1571865,1594854
31540,"Madison, WI (Metropolitan Statistical Area)",70,Proprietors' income 9/,1400798,1773184,1787498,2092781,2269711,2409888,2445509,2583064,2618937
31540,"Madison, WI (Metropolitan Statistical Area)",71,  Farm proprietors' income,135447,261946,166768,264333,208095,131096,53321,50318,-4496
31540,"Madison, WI (Metropolitan Statistical Area)",72,  Nonfarm proprietors' income,1265351,1511238,1620730,1828448,2061616,2278792,2392188,2532746,2623433
31540,"Madison, WI (Metropolitan Statistical Area)",,Employment (number of jobs),,,,,,,,,
31540,"Madison, WI (Metropolitan Statistical Area)",7010,Total employment,444555,454166,462205,468463,477995,488721,501988,506517,514279
31540,"Madison, WI (Metropolitan Statistical Area)",7020,  Wage and salary employment,362216,368105,376582,382313,389646,398595,409923,413124,418365
31540,"Madison, WI (Metropolitan Statistical Area)",7040,  Proprietors employment,82339,86061,85623,86150,88349,90126,92065,93393,95914
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",,Income by place of residence,,,,,,,,,
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",10,Personal income (thousands of dollars),168310441,179835829,198375359,204317849,223595287,237793064,253114158,271575069,293954143
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",11,  Nonfarm personal income 1/,168211407,179724569,198259146,204155829,223421858,237516633,252913117,271343533,293728909
