ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2016,"2016","04000US48","Texas",74670,4811.734926198657,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2016,"2016","04000US48","Texas",19488,2606.444321292899,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2016,"2016","04000US48","Texas",65740,5549.105243190113,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2016,"2016","04000US48","Texas",14762,1838.9045652235463,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2015,"2015","04000US48","Texas",21076,2705.677364358138,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2015,"2015","04000US48","Texas",9640,1663.4548385814385,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2015,"2015","04000US48","Texas",19914,3041.481875665216,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2015,"2015","04000US48","Texas",7364,1846.8183451547152,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2015,"2015","04000US48","Texas",8909,1894.8055309186743,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2015,"2015","04000US48","Texas",17391,2647.444994707161,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2015,"2015","04000US48","Texas",4599,1035.7036255609034,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2015,"2015","04000US48","Texas",30940,2634.405625563383,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2015,"2015","04000US48","Texas",4591,1171.7508267545622,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2015,"2015","04000US48","Texas",13141,2466.2076149424242,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2015,"2015","04000US48","Texas",17422,2292.6360374032333,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2015,"2015","04000US48","Texas",2187,966.0874701599229,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2015,"2015","04000US48","Texas",65044,3902.5454513688883,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2015,"2015","04000US48","Texas",35617,3353.572721740204,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2015,"2015","04000US48","Texas",56350,4811.728275786155,"Austin, TX","16000US4805000","austin-tx"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2015,"2015","04000US48","Texas",14414,2386.0714574379367,"Austin, TX","16000US4805000","austin-tx"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2015,"2015","04000US48","Texas",31689,2819.438419260119,"Austin, TX","16000US4805000","austin-tx"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2015,"2015","04000US48","Texas",60448,4322.1088602671725,"Austin, TX","16000US4805000","austin-tx"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2015,"2015","04000US48","Texas",36721,3703.425711419091,"Austin, TX","16000US4805000","austin-tx"
